SBankCode,BankTypeCode,BankName
,CZSRCB,郴州农村商业银行股份有限公司
,ZJYJRCC,浙江永嘉农村商业银行
,MXRCB,勉县农村信用合作联社
,AHFNRCC,安徽阜南农村商业银行
,GZDAF,贵州大方农村商业银行股份有限公司
,AHFDRCC,安徽肥东农村商业银行
,CXQIURCC,磁县农村信用合作联社
,HBSHRCB,河北沙河农村商业银行股份有限公司
,ZYXUHVRCC,镇远县农村信用合作联社
,HBZYRCC,湖北枣阳农村商业银行
,HNLLRCB,湖南醴陵农村商业银行股份有限公司
,HNGYRCU,湖南桂阳农村商业银行
,JSHMRCB,江苏海门农村商业银行
,AHFXRCC,安徽肥西农村商业银行
,PQSRCC,平泉市农村信用合作联社
,TACCB,泰安银行
,JSDTRCB,江苏东台农村商业银行
,JNRCC,济宁农村商业银行
,AGSRCC,安国市农村信用联社
,AHSCRCC,安徽舒城农村商业银行
,AHZSRCC,安徽颍上农村商业银行
,ZJTZLQRCC,浙江台州路桥农村商业银行
,WHYZRCC,芜湖扬子农村商业银行
,ZJWZLWRCC,浙江温州龙湾农村商业银行
,JLNANSB,吉林农安农村商业银行股份有限公司
,TSQZRCC,天水秦州农村合作银行
,ZJWZLCRCC,浙江温州鹿城农村商业银行
,AHQJRCC,安徽全椒农村商业银行
,CDB,国家开发银行
,HNYJRCB,湖南沅江农村商业银行股份有限公司
,HBDZRCB,河北定州农村商业银行股份有限公司
,LNJPRCB,辽宁建平农村商业银行
,SXZZOAQRCC,山西泽州农村商业银行
,GDXCTKRCC,贵定县农村信用合作联社
,BYGZNCSYGNL,湖北鄂州农村商业银行
,JSDFRCB,江苏大丰农村商业银行
,GSYZRCC,甘肃榆中农村合作银行
,YQXRCC,永清县农村信用联社
,BBNCRCC,蚌埠农村商业银行
,XLXMOWRCC,兴隆县农村信用合作联社
,DLXOHRRCC,大荔县农村信用合作联社
,JPXXCRRCC,建平县农村信用合作联社
,AHMGRCC,安徽明光农村商业银行
,HAXLKNRCC,惠安县农村信用合作联社
,NCBANK,南洋商业银行
,AHLXPPYRCC,安徽利辛农村商业银行
,FYYDRCB,颍东农商银行
,LCRCC,聊城农村商业银行
,JLYSRCB,吉林榆树农村商业银行
,HNYXRCB,湖南攸县农村商业银行股份有限公司
,FXMGZRCC,阜新蒙古族自治县农村信用合作联社
,DDRCB,丹东农村商业银行
,GYNCB,江苏赣榆农村商业银行
,WNXRCC,威宁县农村信用合作联社
,JJRCB,江苏靖江农村商业银行
,JZRCB,锦州农村商业银行股份有限公司
,AHFTRCC,安徽凤台农村商业银行
,HNLSSRCB,湖南龙山农村商业银行股份有限公司
,HBMCRCC,湖北麻城农村商业银行
,RQSRCC,任丘市农村信用合作联社
,HNSZRCB,湖南桑植农村商业银行股份有限公司
,YBCCB,宜宾市商业银行
,HNCNRCB,湖南常宁农村商业银行股份有限公司
,ZJJSXMVRCC,浙江江山农村商业银行
,XYNSRCB,江苏新沂农村商业银行
,SXLTRCB,陕西蓝田农村商业银行
,HBNCRCC,淮北农村商业银行
,BXBANK,本溪市商业银行
,HBSXRCC,湖北三峡农村商业银行
,FJCLRCC,福建长乐农村商业银行
,RDUZKCNCDES,浙江衢州柯城农村商业银行
,BTNJRCC,包头市南郊农村信用联社
,AHZYRCC,安徽枞阳农村商业银行
,ZBZCRCC,淄博淄川农村商业银行
,HBJZRCC,湖北荆州农村商业银行
,XJB,新疆银行
,SXSYSSXRCC,陕西山阳农村商业银行
,ASRZB,安顺农村商业银行
,NYCB,南阳村镇银行
,AHXXRCB,安徽萧县农村商业银行
,ZJTZHYRCC,浙江台州黄岩农村商业银行
,ZJKSCJRCB,张家口市城郊农村信用合作联社
,AHTCDFXRCC,安徽桐城农村商业银行
,HNPJRCB,湖南平江农村商业银行股份有限公司
,CDXRCC,承德县农村信用合作联社
,LTXYEORCC,乐亭县农村信用合作联社
,CTBC,中国信托商业银行
,HEBEIXTRCB,河北邢台农村商业银行
,PLRCB,平凉农村商业银行股份有限公司
,ZJTZJJRCC,浙江台州椒江农村商业银行
,SDZQRCC,山东章丘农村商业银行
,ZZRCB,株洲农村商业银行
,HBSYRCC,湖北十堰农村商业银行
,JRCB,江苏江阴农村商业银行
,JLDHB,吉林敦化农村商业银行
,SJZZCGFGRCC,石家庄市藁城农村信用合作联社
,SYRCBBANK,江苏泗阳农村商业银行
,AHHXRCC,安徽和县农村商业银行
,LNXUDZRCC,洛南县农村信用合作社联合社
,SXSMRCC,陕西神木农村商业银行
,LNHCRCB,辽宁海城农村商业银行
,CGXRCC,城固县农村信用合作联社
,KJCZYH,梅县客家村镇银行
,SXHXRCB,陕西户县农村商业银行
,GSLXRCU,甘肃陇西农村商业银行股份有限公司
,CYXRCC,朝阳县农村信用合作社联合社
,PXRCB,江苏沛县农村商业银行
,GSZYRCB,张掖农村商业银行股份有限公司
,HBCDRHRCB,河北承德热河农村商业银行
,SFKZZJNCHXS,浙江衢州衢江农村商业银行
,JSJRCB,江苏句容农村商业银行
,SDJYQCWRCC,山东巨野农村商业银行
,SDCXRCC,山东曹县农村商业银行
,ZJJRCB,张家界农村商业银行股份有限公司
,GFSXNCSYOGA,湖北钟祥农村商业银行
,SDYSRCC,山东沂水农村商业银行
